Date,Time,ITemp,IHumidity,OTemp,OHumidity,Pressure
10.08.2021,15:41:56,25.80,51.60,25.66,47.49,1018.86
10.08.2021,16:42:01,25.80,51.50,25.68,47.53,1018.58
10.08.2021,17:42:06,25.70,51.40,25.64,47.57,1018.25
10.08.2021,18:42:10,25.60,51.80,25.58,47.78,1018.09
10.08.2021,19:42:15,25.60,52.60,25.58,48.36,1017.80
10.08.2021,20:42:20,25.60,53.10,25.56,48.82,1017.92
10.08.2021,21:42:25,25.60,53.60,25.49,49.36,1018.09
10.08.2021,22:42:30,25.50,54.30,25.35,49.94,1018.42
10.08.2021,23:42:35,25.10,54.80,25.06,50.37,1018.09
10.08.2021,24:42:40,24.90,55.20,24.80,50.63,1018.00
11.08.2021,01:42:45,24.70,55.30,24.59,50.76,1017.80
11.08.2021,02:42:50,24.50,55.50,24.37,50.89,1017.75
11.08.2021,03:42:55,24.20,55.90,24.15,51.27,1017.79
11.08.2021,04:43:00,24.10,56.70,23.97,52.04,1017.92
11.08.2021,05:43:05,24.00,57.40,23.88,52.51,1017.94
11.08.2021,06:43:09,24.10,57.50,23.96,52.65,1017.94
11.08.2021,07:43:14,24.30,56.90,24.20,52.15,1018.03
27.08.2021,13:58:51,23.00,60.50,22.51,55.08,1015.40
27.08.2021,14:58:56,23.40,59.90,23.22,54.35,1015.02
27.08.2021,15:59:01,23.40,60.00,23.23,54.15,1014.48
27.08.2021,16:59:06,23.30,59.60,23.23,53.78,1013.99
27.08.2021,17:59:11,23.60,60.20,23.54,53.97,1014.18
27.08.2021,18:59:16,23.80,59.10,23.67,52.88,1014.23
27.08.2021,19:59:21,24.00,61.00,23.86,54.41,1014.63
27.08.2021,20:59:26,24.00,60.10,23.91,53.79,1014.90
27.08.2021,21:59:31,23.90,59.20,23.87,52.97,1015.09
27.08.2021,22:59:36,23.80,58.00,23.74,52.18,1015.01
27.08.2021,23:59:40,23.50,57.60,23.38,51.76,1015.16
27.08.2021,24:59:45,23.30,57.90,23.09,52.19,1014.68
28.08.2021,01:59:50,23.10,58.30,22.90,52.61,1014.20
28.08.2021,02:59:55,23.00,58.70,22.82,52.80,1013.63
28.08.2021,04:00:00,22.80,58.90,22.67,53.04,1013.66
28.08.2021,05:00:05,22.70,59.00,22.59,53.04,1013.61
28.08.2021,06:00:10,22.90,59.30,22.69,53.46,1013.90
28.08.2021,07:00:15,22.80,59.30,22.67,53.51,1013.93
28.08.2021,08:00:20,22.70,59.30,22.56,53.31,1013.86
28.08.2021,09:00:25,22.90,60.20,22.66,54.13,1014.25
28.08.2021,10:00:30,22.80,60.50,22.70,54.54,1014.77
28.08.2021,11:00:34,22.90,60.60,22.72,54.46,1014.54
28.08.2021,12:00:39,23.00,60.10,22.76,54.13,1014.85
28.08.2021,13:00:44,22.80,60.20,22.70,54.17,1015.26
28.08.2021,14:00:49,22.90,60.30,22.72,53.65,1015.29
28.08.2021,15:00:54,23.00,60.20,22.86,54.00,1015.40
28.08.2021,16:00:59,23.10,60.30,22.93,54.17,1015.22
28.08.2021,17:01:04,23.10,60.40,22.88,54.29,1014.81
28.08.2021,18:01:09,23.10,60.00,22.92,53.84,1014.45
28.08.2021,19:01:14,23.10,59.80,22.97,53.67,1014.61
28.08.2021,20:01:19,23.10,60.50,22.96,53.75,1014.82
28.08.2021,21:01:24,23.10,61.00,23.01,53.52,1014.74
28.08.2021,22:01:29,23.10,61.60,23.00,54.32,1015.25
28.08.2021,23:01:33,23.10,61.30,22.98,54.52,1015.42
28.08.2021,24:01:38,23.00,61.10,22.83,54.89,1015.09
29.08.2021,01:01:43,22.80,60.80,22.64,54.55,1014.66
29.08.2021,02:01:48,22.60,60.50,22.47,54.40,1014.07
29.08.2021,03:01:53,22.50,60.40,22.32,54.28,1013.90
29.08.2021,04:01:58,22.40,60.30,22.20,54.19,1014.27
29.08.2021,05:02:03,22.20,60.20,22.08,54.12,1014.07
29.08.2021,06:02:08,22.20,60.80,22.06,54.71,1013.98
29.08.2021,07:02:13,22.30,60.60,22.14,54.58,1014.23
29.08.2021,08:02:18,22.30,60.30,22.15,54.24,1014.39
29.08.2021,09:02:23,22.50,60.40,22.28,54.33,1014.74
29.08.2021,10:02:28,22.60,60.20,22.46,53.97,1014.83
29.08.2021,11:02:32,22.70,59.70,22.60,53.11,1015.06
29.08.2021,12:02:37,22.90,59.40,22.71,53.27,1015.14
29.08.2021,13:02:42,22.90,59.60,22.80,53.45,1015.19
29.08.2021,14:02:47,23.00,59.90,22.81,53.12,1015.26
29.08.2021,15:02:52,23.10,59.60,22.99,52.95,1015.10
29.08.2021,16:02:57,23.30,59.30,23.16,53.27,1015.15
29.08.2021,17:03:02,23.10,59.50,23.04,53.42,1015.19
29.08.2021,18:03:07,23.10,60.20,22.99,53.80,1015.14
29.08.2021,19:03:12,23.00,60.00,22.82,53.81,1015.62
29.08.2021,20:03:17,22.80,59.90,22.66,53.77,1015.90
29.08.2021,21:03:22,22.60,60.10,22.53,53.98,1016.04
29.08.2021,22:03:26,22.80,62.20,22.61,54.51,1016.29
29.08.2021,23:03:31,22.80,62.30,22.68,55.48,1016.04
29.08.2021,24:03:36,22.70,61.80,22.58,55.45,1016.10
30.08.2021,01:03:41,22.50,61.20,22.37,54.95,1015.84
30.08.2021,02:03:46,22.40,60.90,22.21,54.72,1015.78
30.08.2021,03:03:51,22.20,60.60,22.06,54.48,1015.79
30.08.2021,04:03:56,22.10,60.50,21.93,54.39,1015.64
30.08.2021,05:04:01,22.00,60.30,21.81,54.32,1015.80
30.08.2021,06:04:06,22.10,60.50,21.87,54.50,1015.96
30.08.2021,07:04:11,22.10,60.40,21.89,54.31,1015.75
30.08.2021,08:04:16,22.00,60.00,21.80,54.03,1015.90
30.08.2021,09:04:21,22.10,60.00,21.94,54.10,1016.04
30.08.2021,10:04:26,22.20,60.00,21.98,54.04,1016.45
30.08.2021,11:04:31,22.40,60.00,22.19,53.43,1016.42
30.08.2021,12:04:35,22.40,60.00,22.26,53.85,1016.43
30.08.2021,13:04:40,22.60,59.60,22.39,53.26,1016.49
30.08.2021,14:04:45,22.50,59.30,22.39,53.28,1016.60
30.08.2021,15:04:50,22.60,59.70,22.42,53.50,1016.71
30.08.2021,16:04:55,22.50,59.90,22.38,53.66,1016.86
30.08.2021,17:05:00,22.50,60.00,22.33,53.74,1016.86
30.08.2021,18:05:05,22.40,60.20,22.29,53.82,1016.75
30.08.2021,19:05:10,22.50,60.30,22.33,53.90,1016.71
30.08.2021,20:05:15,22.60,61.10,22.43,53.72,1016.80
30.08.2021,21:05:20,22.60,61.20,22.40,54.12,1017.01
30.08.2021,22:05:25,22.50,61.20,22.37,54.53,1017.29
30.08.2021,23:05:29,22.50,61.10,22.26,54.92,1017.51
30.08.2021,24:05:34,22.20,60.80,22.06,54.66,1017.64
